method,k,seed,inertia,iterations,silhouette,runtime
gonzalez,5,27,245.49107782043404,15,0.3388040524902015,0.0029965920111862943
gonzalez,5,28,245.55350337227284,9,0.3378256276139928,0.0018615930021042004
gonzalez,5,29,253.90039154257914,13,0.3718629762260317,0.003327795013319701
gonzalez,8,0,157.04077092418297,15,0.32555445888710743,0.005303919009747915
gonzalez,8,1,163.60511173259542,13,0.3305543561383124,0.006202567004947923
gonzalez,8,2,156.20901448944426,10,0.3300770052956449,0.003539106997777708
gonzalez,8,3,154.1691909940346,13,0.3357395510295735,0.0037407769996207207
gonzalez,8,4,154.28172264376087,13,0.3362488341759477,0.004599040010361932
gonzalez,8,5,159.27140461107257,13,0.33542051187416766,0.004760773997986689
gonzalez,8,6,154.995378474528,11,0.3424490028544985,0.004059799000970088
gonzalez,8,7,156.9906243346858,11,0.33264183869754643,0.004606686998158693
gonzalez,8,8,155.58173001728244,10,0.3328559638113351,0.0035195060045225546
gonzalez,8,9,154.78741403346368,10,0.33805934239822977,0.002900259001762606
gonzalez,8,10,155.07219532266842,9,0.337258428105892,0.0026536150107858703
gonzalez,8,11,151.7499443544686,15,0.3330707673317226,0.005223631000262685
gonzalez,8,12,161.070487343561,24,0.32727284223211445,0.008130820002406836
gonzalez,8,13,155.9912213435992,20,0.3316675468305745,0.007317800002056174
gonzalez,8,14,159.81679799761747,13,0.3238777714911967,0.005405823001638055
gonzalez,8,15,157.11188271817412,22,0.32093717719465176,0.008879027998773381
gonzalez,8,16,156.54056743620157,14,0.3420746430693388,0.0047350130043923855
gonzalez,8,17,163.71575202217423,11,0.3323346070722158,0.003661761002149433
gonzalez,8,18,152.98317764295865,14,0.33481958000189105,0.006776370995794423
gonzalez,8,19,154.88800580203022,10,0.33303513086073694,0.003423752001253888
gonzalez,8,20,155.46479330717727,10,0.3327651923740367,0.0028661320102401078
gonzalez,8,21,156.63939138803516,25,0.3296201736103543,0.007932577995234169
gonzalez,8,22,160.97045381420526,12,0.3382381651922054,0.004052782998769544
gonzalez,8,23,156.32360672128505,17,0.3422858956360217,0.006058867002138868
gonzalez,8,24,162.76111735227738,14,0.33038485722415956,0.004172603003098629
gonzalez,8,25,160.97045381420526,13,0.3382381651922054,0.0038454180030385032
gonzalez,8,26,153.59110802202085,11,0.3353617993057784,0.003672608989290893
gonzalez,8,27,160.27335506501328,18,0.32975591185665853,0.005928290003794245
gonzalez,8,28,163.77223702451093,10,0.3334452769108029,0.0032610409980406985
gonzalez,8,29,157.04077092418297,15,0.32555445888710743,0.006764880992705002
